url,listing_id,price_eur,area_m2,rooms,floor,max_floor,is_ground_floor,is_top_floor,heat,construction_type,newbuild,district
https://www.imot.bg/obiava-1a175215763807324-prodava-ednostaen-apartament-grad-sofiya-m-t-kambanite,ida1a175215763807324,129000.0,46.0,1,2.0,4.0,0,0,gas,brick,1.0,м-т Камбаните
https://www.imot.bg/obiava-1a175215845442819-prodava-ednostaen-apartament-grad-sofiya-m-t-kambanite,ida1a175215845442819,167400.0,62.0,1,1.0,4.0,0,0,gas,brick,1.0,м-т Камбаните
https://www.imot.bg/obiava-1a169744776519406-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a169744776519406,67000.0,31.0,1,1.0,4.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a176198854148407-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a176198854148407,73900.0,25.0,1,2.0,4.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a176192300417999-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a176192300417999,73900.0,26.0,1,1.0,3.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a176344065645001-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a176344065645001,77000.0,37.0,1,2.0,4.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a176344943249380-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a176344943249380,87000.0,42.0,1,1.0,4.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a176043243973245-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a176043243973245,93472.0,39.0,1,4.0,4.0,0,1,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a175276168726293-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a175276168726293,121000.0,46.0,1,3.0,8.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a175447527165178-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a175447527165178,129999.0,39.0,1,5.0,5.0,0,1,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a174039830479121-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a174039830479121,133870.0,60.0,1,5.0,5.0,0,1,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a174948125271637-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a174948125271637,111667.0,55.0,1,3.0,9.0,0,0,gas,brick,0.0,Малинова долина
https://www.imot.bg/obiava-1a176137958760824-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina-bul-simeonovsko-shose,ida1a176137958760824,139999.0,38.0,1,4.0,6.0,0,0,gas,brick,0.0,Малинова долина
https://www.imot.bg/obiava-1a176286754471414-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a176286754471414,139999.0,45.0,1,3.0,5.0,0,0,other,brick,0.0,Малинова долина
https://www.imot.bg/obiava-1a176034619635141-prodava-ednostaen-apartament-grad-sofiya-mladost-1a-bul-aleksandar-malinov,ida1a176034619635141,119000.0,46.0,1,2.0,11.0,0,0,other,brick,1.0,Младост 1А
https://www.imot.bg/obiava-1a175793185165597-prodava-ednostaen-apartament-grad-sofiya-mladost-4,ida1a175793185165597,135000.0,42.0,1,4.0,8.0,0,0,gas,panel,0.0,Младост 4
https://www.imot.bg/obiava-1a176111445895449-prodava-ednostaen-apartament-grad-sofiya-nadezhda-1,ida1a176111445895449,98000.0,46.0,1,6.0,8.0,0,0,district,panel,0.0,Надежда 1
https://www.imot.bg/obiava-1a175766077755364-prodava-ednostaen-apartament-grad-sofiya-oborishte,ida1a175766077755364,150000.0,45.0,1,1.0,7.0,0,0,gas,brick,0.0,Оборище
https://www.imot.bg/obiava-1a176353518138992-prodava-ednostaen-apartament-grad-sofiya-oborishte,ida1a176353518138992,165010.0,52.0,1,1.0,6.0,0,0,gas,brick,1.0,Оборище
https://www.imot.bg/obiava-1a176357369862226-prodava-ednostaen-apartament-grad-sofiya-oborishte,ida1a176357369862226,196000.0,50.0,1,2.0,6.0,0,0,gas,brick,0.0,Оборище
https://www.imot.bg/obiava-1a175749202261431-prodava-ednostaen-apartament-grad-sofiya-oborishte,ida1a175749202261431,196000.0,50.0,1,2.0,6.0,0,0,gas,brick,1.0,Оборище
