url,listing_id,source,price_raw,area_raw,rooms,district_raw,floor_raw,max_floor_raw,heat_raw,construction_raw,year_raw,desc_text
https://www.imot.bg/obiava-1b176398051065619-prodava-dvustaen-apartament-grad-sofiya-boyana,ida1b176398051065619,imot.bg,51 000 €,58 m 2,2,"град София, Бояна",6,6,ГАЗ,Тухла,2025,"Описание на имота: ТОП ОФЕРТА! Апартамент до Пирин Голф, Банско   51 000 Продава се напълно обзаведен апартамент с Акт 16, площ 58 кв.м, разположен в комплекс с отлична локация точно до Pirin Golf & Country Club. Основни предимства: Панорамна гледка към Пирин Релакс зона и външен плувен басейн Индивидуални битови партиди за ток и вода Много ниска такса поддръжка   15 евро/месец Осигурени шатъли до ски пистите и центъра на Банско Спокойна среда, подходяща за почивка или инвестиция Готов за нанасяне или отдаване под наем Перфектен имот за лично ползване или доходоносна инвестиция в един от най-предпочитаните райони край Банско. За повече информация и оглед - 0877671171 Александър Митев. Виж всички обяви в studio.bazar.bg или тук"
https://www.imot.bg/obiava-1b175906577368024-prodava-dvustaen-apartament-grad-sofiya-malinova-dolina-bul-simeonovsko-shose,ida1b175906577368024,imot.bg,178 000 €,55 m 2,2,"град София, Малинова долина",6,6,Газ: НЕ; ТEЦ: НЕ,Тухла,2025,"Описание на имота: ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ! Представям Ви нов луксозен двустаен апартамент, завършен по дизайнерски проект с висококачествени довършителни работи, мебели и оборудване! Жилището се намира в затворен комплекс 'Далия Резидънс' на изключително удобна локация в близост до спирки на градски транспорт, Фантастико, Кауфланд, нова детска площадка, с удобен достъп до Околовръстен път и два главни булеварда. Имотът е завършен практично и удобно за ползване и се състои от хол с кухненски бокс, спалня, работен кът, коридор с вграден гардероб, както и двор с площ от 12 кв.м., който не е включен в общата квадратура посочена по-горе. Отоплението е посредством климатик, а изложението на имота е изцяло юг. Апартаментът е среден на етаж, и от ляво, и дясно има съседи. За по-голям комфорт имотът се продава с паркомясто на цена 29 000 евро, което се намира в сутерена на сградата. Покупката на имота е обвързана с тази на паркомястото. За повече информация и огледи: Мила-Маргарита Тодорова - 0889020875 Работим с колеги! Виж всички обяви в homelab.bazar.bg или тук"
https://www.imot.bg/obiava-1b175431545512571-prodava-dvustaen-apartament-grad-sofiya-moderno-predgradie,ida1b175431545512571,imot.bg,144 900 €,72 m 2,2,"град София, Модерно предградие",6,9,газ,Панел,1997,"Описание на имота: Собственик продава непреходен двустаен апартамент с възможно преустройство в тристаен. Модерно предградие. Панел от 1997г, ет6/9, ЮЗ/СИ, 72м2 + мазе, две тераси, едната усвоена. След ремонт, готов за нанасяне. Частично сменена дограма. Антре с вграден гардероб с голяма вместимост, нова баня. Отделна нова кухня с нови уреди, нова спалня 160/200 с гардероб и скрин. Голяма и светла всекидневна с нескриваема гледка. Вход с контрол на достъпа и поддържани общи части. В близост до Северен парк, детска градина, градски транспорт, множество магазини и аптека. Много зелени площи и големи отстояния, свободно паркиране в района. За повече информация тел.: 0896824689 след 12ч Вижте още обяви Продава 2-СТАЕН, град София, Модерно предградие"
https://www.imot.bg/obiava-1b176060783009001-prodava-dvustaen-apartament-grad-sofiya-ovcha-kupel-2-ul-tsentralna,ida1b176060783009001,imot.bg,155 000 €,76 m 2,2,"град София, Овча купел 2",5,10,ТEЦ: ДА,Тухла,2027,"Описание на имота: Solana Residence: Директно от Инвеститор - Вашият Нов Дом 'На Зелено' в Овча Купел! БЕЗ КОМИСИОННА! Имот с Разрешение за Строеж! Представяме Ви Solana Residence   модерен жилищен проект, който съчетава висококачествено изпълнение с изключителна локация в кв. Овча Купел, София. Проектът е директно от инвеститор и се продава 'на зелено', като очакваното въвеждане в експлоатация е през 2027 г. Защо да изберете Solana Residence? Модерно Строителство: Сградата е проектирана с вентилируема фасада и отлична топлоизолация за максимална енергийна ефективност и комфорт. Функционални Жилища: Предлагаме модерни и функционални апартаменти, голяма част от които са с южно изложение, осигуряващо много светлина и топлина. Непобедима Локация: Стратегическото местоположение осигурява безпрецедентни удобства: Само на 2 минути пеша от метростанция. На 10 минути от Нов Български Университет (НБУ). В непосредствена близост до училища, детски градини, медицински центрове и големи търговски обекти. Без Допълнителни Разходи: Купувате директно от Инвеститор   БЕЗ КОМИСИОННА за купувача! Сградата разполага с всички необходими документи, включително Разрешение за Строеж. Примерен Имот (Двустаен): Площ: 76 кв.м Етаж: 5-ти от 10 (С асансьор) Цена: 155 000 EUR с включено ДДС. Инвестирайте сега в дома на Вашите мечти на най-добра цена! За повече информация и за да видите други свободни апартаменти, свържете се с нас: Телефон: 0888581689 Имейл: office@solanaresidences. Очаквано завършване: 2027 г. Вижте още обяви Продава 2-СТАЕН, град София, Овча купел 2"
https://www.imot.bg/obiava-1b175605684972537-prodava-dvustaen-apartament-grad-sofiya-strelbishte,ida1b175605684972537,imot.bg,250 000 €,75 m 2,2,"град София, Стрелбище",6,8,ТEЦ: ДА,Панел,,"Описание на имота: Продава се двустаен апартамент в кв. Стрелбище, до входа на Южния парк Двустаен апартамент с площ 75 кв.м + общи части. Имотът е за ремонт и предлага отлична възможност за преустройство по желание на новия собственик. Разпределение:  голям хол с балкон- изглед към Витоша, кухня с блкон-изглед към Южния парк, спалня, баня с тоалетна, коридор + мазе. 📍 Топ локация   на метри от Южния парк, в близост до метро, градски транспорт, училища и магазини. 📞 Контакт:0895744707 Надалина Исаева Виж всички обяви в sgroupbulgaria.bazar.bg или тук"
https://www.imot.bg/obiava-1b176103397765968-prodava-dvustaen-apartament-grad-sofiya-suhata-reka-ul-varshets,ida1b176103397765968,imot.bg,165 000 €,68 m 2,2,"град София, Сухата река",7,7,Газ: НЕ; ТEЦ: НЕ,Тухла,1960,"Описание на имота: Предлагаме на вашето внимание слънчев, панорамен тухлен апартамент, изцяло южен, вътрешен и с подновен асансьор. Имотът е непреходен, като разпределението е: трапезария с кухненски бокс, дневна, спалня, баня с тоалетна, коридор, килер и две тераси. Имотът може да бъде преустроен в тристаен, тъй като кухнята е с обособен кухненски бокс и трапезария, може да се приобщи и наличния килер в коридора, непосредствено до кухнята. На едната тераса се излиза от спалнята и кухнята, на другата - от дневната! Кварталът не е захранен с ТЕЦ, но имотът е огрян цял ден от слънцето и е изключително топъл. Към апартамента има мазе. Входната врата на блока е с чип достъп, асансьорът - също. Поддържан вход и множество магазини на партерното ниво и около блока. Налични училище, детска градина, ДКЦ в непосредствена близост. До блока има спирки на градския транспорт - автобусни линии и трамвай   22. Много свободни места за паркиране пред блока и в съседните улици. Заповядайте да ви го покажем! Тел. 02/980 78 78 0886 43 32 37 - Венета Шопова Виж всички обяви в fenixreal.bazar.bg или тук"
https://www.imot.bg/obiava-1b176372935258196-prodava-dvustaen-apartament-grad-sofiya-banishora,ida1b176372935258196,imot.bg,125 000 €,48 m 2,2,"град София, Банишора",3,4,ТEЦ: ДА,Тухла,1950,"Описание на имота: Предлагаме за продажба двустаен тухлен апартамент с отлично южно изложение, разположен в спокоен и предпочитан район в непосредствена близост до метростанция  Княгиня Мария Луиза , спирки на трамвай, автобус и тролей, както и до ключови градски артерии. Жилището се намира в тиха зона, зад Транспортна болница и в близост до Хотел  Миления . Апартаментът е ситуиран на 3-ти надпартерен (4-ти реален) етаж в малка тухлена сграда без асансьор. Не е последен етаж. Разпределението е функционално и удобно: антре, баня с тоалетна, хол с кухненски бокс, непреходна спалня, килер/складово помещение, тераса. Жилищната площ е 48 кв.м, като терасата, мазето и таванското помещение (около 4 кв.м. всяко) не са включени в площта. Апартаментът е светъл, с високи тавани, изключително топъл и след освежителен ремонт. Продава се с наличното обзавеждане от снимките. Районът предлага идеална комбинация от бърз достъп до централни точки на града и спокойна жилищна среда. Имотът е подходящ както за живеене, така и за инвестиция   отдаван е под наем. Виж всички обяви в southview.bazar.bg или тук"
https://www.imot.bg/obiava-1b176071830140777-prodava-dvustaen-apartament-grad-sofiya-banishora,ida1b176071830140777,imot.bg,144 000 €,65 m 2,2,"град София, Банишора",4,12,ТEЦ: ДА,Тухла,2025,"Описание на имота: ПРЕКРАСНО ЖИЛИЩЕ В КОМПЛЕКС 'СЕНТРАЛ ПАРК' -НОВАТА ЕМБЛЕМА НА СТОЛИЦАТА.МОДЕРНИ СГРАДИ СРЕД ЗЕЛЕНИНА И ПРОСТОР. КАЧЕСТВЕНО ИНОВАТИВНО СТРОИТЕЛСТВО ,ЛУКСОЗНИ ОБЩИ ЧАСТИ,МНОЖЕСТВО ТЪРГОВСКИ ОБЕКТИ,СОБСТВЕН ПАРК. С АКТ 15 - АКТ 16 ДО КРАЯ НА МЕСЕЦА. ЗА ОГЛЕД НЕ СЕ КОЛЕБАЙТЕ ДА ПОЗВЪНИТЕ НА ТЕЛ.0876989885 ,0876068899 Виж всички обяви в marmariestates.bazar.bg или тук"
https://www.imot.bg/obiava-1b176337343691544-prodava-dvustaen-apartament-grad-sofiya-banishora,ida1b176337343691544,imot.bg,149 999 €,68 m 2,2,"град София, Банишора",8,8,Газ: НЕ; ТEЦ: ДА,Панел,1980,"Описание на имота: Референтен номер: 2081761 Революшън Естейт представя Двустаен апартамент в ж.к. Банишора. - Етаж: 8-ми от 8-ми. - Площ: 68 кв.м. - Разпределение: входно антре, хол, кухня, спалня, баня и тоалетна и две тераси. - Отопление: Тец. - Изложение: Изток/Запад. - Строителство: Панел от 1985 г. - Имотът е със сменена висококачествена дограма Кьомерлинг 4 сезона. - Жилището е за освежителен ремонт и по желание на бъдещия собственик може да се продаде необзаведено. Имотът се намира на комуникативна локация, на метри разстояние до 48-а детска градина, училище, Т-маркет, Кауфланд и спирки на градски транспорт. Връзка с останалите части на града се осъществява посредством бул. Рожен и ул. Скопие. В близост до имота ще намерите: - ДГ 48 'Братя Грим', 100 СУ 'Найден Геров'. - Супермаркети. - Мебелен магазин. Информация за горепосочения имот, може да получите чрез формата на запитване или чрез директна връзка с нас на посочения телефон. Виж всички обяви в revolutionestate.bazar.bg или тук"
https://www.imot.bg/obiava-1b175111036304480-prodava-dvustaen-apartament-grad-sofiya-banishora,ida1b175111036304480,imot.bg,164 000 €,73 m 2,2,"град София, Банишора",16,18,ТEЦ: ДА,Тухла,2028,"Описание на имота: ................................................................................................................................... Затворен комплекс Central Park .............................................................................................................................. Апартамент 51605 се намира в сграда Д, обща площ 72.78 кв.м. (застроена площ 61.37 кв.м. + общи части 11.41 кв.м.) ............................................................................................................................ Изложение ЗАПАД/СЕВЕР/ИЗТОК Състои се от: входно антре, хол с кухненски бокс, спалня, баня с тоалетна и тераса ........................................................................................................................... Възможно закупуване на гараж или паркомясто .................................................................................................................... Апартамента е купен от фирма и се продава с тристранно споразумение, при подписване на което се дължи сумата от 57840 евро. Остатъка от 106157 евро се плащат на акт 16 към фирмата инвеститор .................................................................................................................... Акт 14 се очаква началото на 2026г//////////// Акт 16 се очаква началото на 2028г. Има изготвен 3D проект от нашето интериорно студио www.remonti.kafyhome.com . Предлагаме услугата ремонт и пълно обзавеждане с италиански мебели на цена 650евро на кв.м застроена площ. ............................................................................................................. Предвидени са 1500 евро комисионна за брокери Виж всички обяви в kafyhome.bazar.bg или тук"
