district,price_1,ppm2_1,price_2,ppm2_2,price_3,ppm2_3,ppm2_all
с. Бистрица,-,-,185273,2395,304631,2289,2294
с. Владая,70195,1897,108340,1754,161991,1752,1756
с. Волуяк,-,-,-,-,-,1,101
с. Герман,-,-,171483,2193,250277,2182,2022
с. Долни Пасарел,-,-,75159,1473,-,1,473
с. Иваняне,-,-,204314,2722,284314,2334,2722
с. Казичене,85181,2028,126268,1505,-,1,567
с. Лозен,117799,1961,158963,1994,244059,1999,1994
с. Мало Бучино,-,-,-,-,130266,1173,1173
с. Мировяне,-,-,100213,2004,-,2,004
с. Панчарево,-,-,195365,3006,294797,2516,2549
с. Световрачене,-,-,124665,1903,-,1,903
